Period,7th March 2024 00:00 -> 21st May 2025 09:45,

Time,53 Perouse Rd,Addiscombe Rd,Auburn Rd & Mary St,Auburn Rd eastern footpath,Belmore Rd,Blaxcell St A,Blaxcell St B,Blaxcell St C,Bourke Street & Lachlan Street,"Civic Park, Pendle Hill",Coles St,Collins Street,Concord Rd East footpath,Concord Rd West footpath,Correys Ave,Doncaster Ave North of Todman Ave,Elizabeth St A,Elizabeth St B,Evaline St North side,Evaline St South side,Houston Rd and Day Ave,Kenneth Rd,Lidcombe town centre,Oliver St & Brighton St (East),Oliver St & Brighton St (West),Oliver Street (east footpath),Oliver Street (west footpath),Parramatta Rd footpath,Perouse Rd footpath,Rainbow street,St Pauls Street footpath,
Wed 17th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,209,238,,,,,,,
Thu 18th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,240,239,,,,,,,
Fri 19th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,249,223,,,,,,,
Sat 20th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,218,260,,,,,,,
Sun 21st Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,280,267,,,,,,,
Mon 22nd Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,233,290,,,,,,,
Tue 23rd Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,345,295,,,,,,,
Wed 24th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,304,265,,,,,,,
Thu 25th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,246,290,,,,,,,
Fri 26th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,345,282,,,,,,,
Sat 27th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,168,228,,,,,,,
Sun 28th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,145,286,,,,,,,
Mon 29th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,179,197,,,,,,,
Tue 30th Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,152,229,,,,,,,
Wed 31st Jul 2024,,,,,,,,,,,,,,,,,,,,,,,,247,224,,,,,,,
Thu 1st Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,137,167,,,,,,,
Fri 2nd Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,187,243,,,,,,,
Sat 3rd Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,275,326,,,,,,,
Sun 4th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,188,297,,,,,,,
Mon 5th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,190,247,,,,,,,
Tue 6th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,229,272,,,,,,,
Wed 7th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,263,225,,,,,,,
Thu 8th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,263,272,,,,,,,
Fri 9th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,699,267,,,,,,,
Sat 10th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,715,297,,,,,,,
Sun 11th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,471,285,,,,,,,
Mon 12th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,466,238,,,,,,,
Tue 13th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,440,245,,,,,,,
Wed 14th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,393,148,,,,,,,
Thu 15th Aug 2024,,,,,,,,,,,,,,,,,,,,,,,,406,203,,,,,,,
Fri 16th Aug 2024,,166,,,,,,,,,,,,,,,,,,,,510,,169,101,,,,,,,
Sat 17th Aug 2024,,583,,,,,,,,,,,,,,,,,,,,1660,,,,,,,,,,
Sun 18th Aug 2024,,406,,,,,,,,,,,,,,,,,,,,1391,,,,,,,,,,
Mon 19th Aug 2024,,471,,,,,,,,,,,,,,,,,,,,1677,,,,,,,,,,
Tue 20th Aug 2024,,504,,,,,,,,,,,,,,,,,,,,1550,,,,,,,,,,
Wed 21st Aug 2024,,483,,,,,,,,,,,,,,,,,,,,1720,,,,,,,,,,
Thu 22nd Aug 2024,,392,,,,,,,,,,,,,,,,,,,,1043,,,,,,,,,,
Fri 23rd Aug 2024,,542,,,,,,,,,,,,,,,,,,,,1579,,,,,,,,,,
Sat 24th Aug 2024,,483,,,,,,,,,,,,,,,,,,,,1512,,,,,,,,,,
Sun 25th Aug 2024,,545,,,,,,,,,,,,,,,,,,,,1540,,,,,,,,,,
Mon 26th Aug 2024,,599,,,,,,,,,,,,,,,,,,,,1808,,,,,,,,,,
Tue 27th Aug 2024,,541,,,,,,,,,,,,,,,,,,,,1634,,,,,,,,,,
Wed 28th Aug 2024,,457,,,,,,,,,,,,,,,,,,,,1605,,,,,,,,,,
Thu 29th Aug 2024,,525,,,,,,,,,,,,,,,,,,,,1479,,,,,,,,,,
Fri 30th Aug 2024,,493,,,,,,,,,,,,,,,,,,,,1521,,,,,,,,,,
Sat 31st Aug 2024,,570,,,,,,,,,,,,,,,,,,,,1744,,,,,,,,,,
Sun 1st Sep 2024,,569,,,,,,,,,,,,,,,,,,,,1575,,,,,,,,,,
Mon 2nd Sep 2024,,465,,,,,,,,,,,,,,,,,,,,1739,,,,,,,,,,
Tue 3rd Sep 2024,,474,,,,,,,,,,,,,,,,,,,,1532,,,,,,,,,,
Wed 4th Sep 2024,,477,,,,,,,,,,,,,,,,,,,,1618,,,,,,,,,,
Thu 5th Sep 2024,,508,,,,,,,,,,,,,,,,,,,,1476,,,,,,,,,,
Fri 6th Sep 2024,,543,,,,,,,,,,,,,,,,,,,,1742,,,,,,,,,,
